Row Labels,Total Guests,Canceled Bookings,,,
Couple,81560,32424,,,
Family,15253,5245,,,
Single,22577,6555,,,
,,,,,
,,,,,
Row Labels,Count of room_status,Canceled Bookings,,,
Desired,104473,43422,,,
Undesired,14917,802,,,
,,,,,
,,,,,
Row Labels,Total Guests,Canceled Bookings,,,
January,5929,1807,,,
February,8068,2696,,,
March,9794,3149,,,
April,11089,4524,,,
May,11791,4677,,,
June,10939,4535,,,
July,12661,4742,,,
August,13877,5239,,,
September,10508,4116,,,
October,11160,4246,,,
November,6794,2122,,,
December,6780,2371,,,
,,,,,
,,,,,
Row Labels,Total Bookings,,,,
City Hotel,79330,,,,
Resort Hotel,40060,,,,
,,,,,
,,,,,
Row Labels,Canceled Bookings,,,,
City Hotel,33102,,,,
Resort Hotel,11122,,,,
